chainId,amount,createdAt,shoeSize,productId,skuUuid,state,customerId,localAmount,localCurrency
1.36E+19,421,2021-05-22T16:44:54+00:00,11.5W,,26cbb28d-cdc5-4900-9d19-4698b10cb4a7,480,,298,GBP
1.36E+19,546.2092,2021-05-22T16:44:08+00:00,10.5W,,a0a2abbe-a8b6-43eb-a165-9f9794470aef,480,,386,GBP
1.36E+19,378,2021-05-22T16:43:45+00:00,10W,,0f2ab563-a4d4-4beb-81ff-5ce56bfd8cd8,480,,268,GBP
1.36E+19,321,2021-05-22T16:43:01+00:00,9W,,750fcf5f-1214-46c1-83da-af35cdc513ac,480,,227,GBP
1.36E+19,288,2021-05-22T16:41:10+00:00,8.5W,,2f5feda2-ce39-4b1b-a81a-640889a61867,480,,204,GBP
1.36E+19,410,2021-05-22T16:37:35+00:00,10.5W,,a0a2abbe-a8b6-43eb-a165-9f9794470aef,480,,290,GBP
1.36E+19,391,2021-05-22T16:32:45+00:00,9.5W,,33b9102f-7273-4e11-9f63-0645797f0a95,480,,277,GBP
1.36E+19,475.0686,2021-05-22T16:22:58+00:00,9.5W,,33b9102f-7273-4e11-9f63-0645797f0a95,480,,336,GBP
1.36E+19,347.1655,2021-05-22T16:20:30+00:00,5.5W,,5e1c49dc-3390-460e-b494-a12deebc1a22,480,,246,GBP
1.36E+19,347.1655,2021-05-22T16:20:11+00:00,8.5W,,2f5feda2-ce39-4b1b-a81a-640889a61867,480,,246,GBP
1.36E+19,354.4743,2021-05-22T16:17:48+00:00,6.5W,,bc3f3f97-bdcd-4fea-84ed-847606d3692c,480,,251,GBP
1.36E+19,356.9105,2021-05-22T16:17:14+00:00,8.5W,,2f5feda2-ce39-4b1b-a81a-640889a61867,480,,253,GBP
1.36E+19,359.3468,2021-05-22T16:16:54+00:00,7.5W,,28e8ca6b-452a-419e-b51d-a35ba1ffc426,480,,254,GBP
1.36E+19,366.6555,2021-05-22T16:16:12+00:00,7.5W,,28e8ca6b-452a-419e-b51d-a35ba1ffc426,480,,260,GBP
1.36E+19,280,2021-05-22T16:13:28+00:00,7W,,0949ff49-d3d7-4eca-96b9-93d3e54a6493,480,,198,GBP
